nome,UF,partido,votos,total_despesa,quantidade_doadores,quantidade_despesas,recursos_de_pessoas_juridicas,recursos_de_partidos,recursos_de_pessoas_físicas,recursos_proprios,idade,sexo,grau,prop_doacoes_pj,prop_doacoes_pf,prop_doacoes_partido,prop_recursos_proprios,total_votos_uf,votos_prop
ROSANGELA RIBEIRO DE ASSIS,SP,PDT,925,27552.33,18,60,2e3,0,11930,0,37,FEMININO,SUPERIOR INCOMPLETO,0.07258914218870055,0.4329942331555988,0,0,31998432,2.8907666475657306e-5
MARYSTELLA DA SILVA GOMES PIMENTA,RJ,PSDB,83,400,2,2,0,0,400,0,27,FEMININO,ENSINO MÉDIO INCOMPLETO,0,1,0,0,12141145,6.836258030029293e-6
CRISTIANO DE MATTOS MALAPHAIA,RJ,PRB,3461,12400,2,5,0,6e3,0,0,41,MASCULINO,SUPERIOR COMPLETO,0,0,0.4838709677419355,0,12141145,2.8506372339676367e-4
ERASMO VIEIRA DE SOUSA,SP,PSB,321,3051.98,8,15,0,0,1150,1253,69,MASCULINO,ENSINO MÉDIO COMPLETO,0,0.37680456621603026,0,0.4105531491032051,31998432,1.0031741555336211e-5
ABRÃO GEORGES RESTOM,SP,PMDB,940,47139.94,6,41,3e4,2246.1,0,1500,60,MASCULINO,SUPERIOR COMPLETO,0.6364030162108819,0,0.047647493823708725,0.031820150810544096,31998432,2.937643944553283e-5
LUIS CLAUDIO DA SILVA COELHO,PA,PV,457,2624,2,8,0,0,724,1900,40,MASCULINO,SUPERIOR COMPLETO,0,0.2759146341463415,0,0.7240853658536586,5188450,8.80802551821835e-5
LUCIANA DE OLIVEIRA ARCHETE,MG,PSB,369,6050,2,12,0,5e3,0,0,41,FEMININO,SUPERIOR COMPLETO,0,0,0.8264462809917356,0,15248681,2.4198814310562337e-5
EDSON GOMES DA ROCHA,SP,PHS,783,2440.08,2,14,0,0,0,1392.08,47,MASCULINO,SUPERIOR COMPLETO,0,0,0,0.5705058850529491,31998432,2.446994902750235e-5
CLAUDINE BENEDITO BATALHA,MG,PSL,464,4300,3,3,0,4e3,300,0,50,MASCULINO,ENSINO MÉDIO INCOMPLETO,0,0.06976744186046512,0.9302325581395349,0,15248681,3.0428861355287058e-5
SARITA DE JESUS MACHADO DE MOURA,RS,PC do B,111,1825,3,4,0,0,400,0,65,FEMININO,ENSINO MÉDIO COMPLETO,0,0.2191780821917808,0,0,8392033,1.3226830733387249e-5
